,,,,,,,,,,,,,,
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID,FILE
4C:6E:6E:9C:F6:3A, 2018-07-11 21:04:30, 2018-07-11 21:06:49,5,54, WPA2, CCMP TKIP,PSK,-81,16,0,   0.  0.  0.  0,11, wifi_cabana,CAP1
F4:F2:6D:6E:12:06, 2018-07-11 21:06:20, 2018-07-11 21:06:35,3,54, WPA2, CCMP,PSK,-88,3,0,   0.  0.  0.  0,10, Hotel P3-1,CAP1
C0:05:C2:A0:FB:57, 2018-07-11 21:04:33, 2018-07-11 21:06:05,149,54, WPA2WPA , CCMP TKIP,PSK,-81,6,0,   0.  0.  0.  0,11, VTR-1827716,CAP1
A4:15:88:E4:5E:70, 2018-07-11 21:04:30, 2018-07-11 21:06:06,6,54, WPA2, CCMP,PSK,-87,3,0,   0.  0.  0.  0,8, VIRGINIA,CAP1
92:2A:A8:A1:76:3F, 2018-07-11 21:04:45, 2018-07-11 21:06:06,6,54, OPN ,       ,   ,-87,2,0,   0.  0.  0.  0,22, Punto Creativo visitas,CAP1
2A:A4:3C:4F:1E:9C, 2018-07-11 21:05:42, 2018-07-11 21:06:06,6,54, OPN ,       ,   ,-91,2,0,   0.  0.  0.  0,13, Zona_ChileGob,CAP1
7A:8A:20:85:29:66, 2018-07-11 21:05:28, 2018-07-11 21:05:57,36,54, WPA2, CCMP,PSK,-86,4,0,   0.  0.  0.  0,6, PLUS12,CAP1
C8:3F:B4:98:0F:80, 2018-07-11 21:04:29, 2018-07-11 21:05:27,1,54, WPA2, CCMP,PSK,-84,2,0,   0.  0.  0.  0,9, TELETRACK,CAP1
14:CF:E2:97:84:D0, 2018-07-11 21:04:59, 2018-07-11 21:05:13,6,54, WPA2, CCMP,PSK,-85,2,0,   0.  0.  0.  0,9, STEFANY86,CAP1
4C:6E:6E:9A:DA:8E, 2018-07-11 21:04:30, 2018-07-11 21:05:42,4,54, WPA2, CCMP TKIP,PSK,-87,7,0,   0.  0.  0.  0,15, WifiTelsur_DA8D,CAP1
4C:72:B9:30:91:F1, 2018-07-11 21:04:45, 2018-07-11 21:06:03,9,54, WPA2, CCMP TKIP,PSK,-82,6,0,   0.  0.  0.  0,7, ANTONIA,CAP1
84:AA:9C:6F:80:18, 2018-07-11 21:05:00, 2018-07-11 21:06:21,11,54, WPA2, CCMP,PSK,-86,3,0,   0.  0.  0.  0,7, ISIDORA,CAP1
DC:9F:DB:60:F7:26, 2018-07-11 21:05:42, 2018-07-11 21:06:21,6,54, WPA2, CCMP,PSK,-86,3,0,   0.  0.  0.  0,7, Plus 11,CAP1
00:1F:1F:F7:10:60, 2018-07-11 21:06:20, 2018-07-11 21:06:20,1,54, WPA , TKIP,PSK,-85,2,0,   0.  0.  0.  0,4, VDR3,CAP1
4C:6E:6E:9E:7B:EB, 2018-07-11 21:04:29, 2018-07-11 21:06:34,1,54, WPA2, CCMP TKIP,PSK,-85,2,0,   0.  0.  0.  0,14, HOSTAL II 2.4G,CAP1
4C:6E:6E:AD:CC:64, 2018-07-11 21:04:29, 2018-07-11 21:07:03,1,54, WPA2, CCMP TKIP,PSK,-89,5,0,   0.  0.  0.  0,15, SALA PROFESORES,CAP1
00:25:C4:4C:1B:01, 2018-07-11 21:04:58, 2018-07-11 21:07:05,1,54, WEP , WEP,   ,-89,4,0,   0.  0.  0.  0,22, wifitelsur_MAXIMILIANO,CAP1
34:57:60:7B:79:A8, 2018-07-11 21:05:43, 2018-07-11 21:07:04,11,54, WPA2, CCMP,PSK,-87,6,0,   0.  0.  0.  0,6, CAIMAN,CAP1
A4:15:88:2D:AB:40, 2018-07-11 21:05:28, 2018-07-11 21:06:50,9,54, WPA2, CCMP,PSK,-87,6,0,   0.  0.  0.  0,6, RPENZO,CAP1
4C:6E:6E:A0:2C:B8, 2018-07-11 21:04:27, 2018-07-11 21:06:50,11,54, WPA2, CCMP TKIP,PSK,-87,5,0,   0.  0.  0.  0,18, wifitelsur_Cabaña,CAP1
68:72:51:4C:7A:39, 2018-07-11 21:04:27, 2018-07-11 21:07:04,4,54, WPA2, CCMP,PSK,-86,16,0,   0.  0.  0.  0,4, VDR1,CAP1
C0:05:C2:A5:3F:99, 2018-07-11 21:05:13, 2018-07-11 21:07:09,9,54, WPA2WPA , CCMP TKIP,PSK,-85,10,0,   0.  0.  0.  0,11, VTR-0425039,CAP1
E2:CC:6D:CE:07:5F, 2018-07-11 21:04:29, 2018-07-11 21:07:08,1,54, WPA , CCMP TKIP,PSK,-85,11,0,   0.  0.  0.  0,16, wifitelsur_HEVPA,CAP1
68:72:51:20:B8:0A, 2018-07-11 21:04:30, 2018-07-11 21:07:09,4,54, WPA2, CCMP,PSK,-85,14,0,   0.  0.  0.  0,7, Plus 11,CAP1
00:0F:60:08:AA:0A, 2018-07-11 21:04:31, 2018-07-11 21:07:10,11,54, WPA2, CCMP,PSK,-83,20,0,   0.  0.  0.  0,19, EMn-9ef88e-10-14102,CAP1
40:0D:10:A4:45:5F, 2018-07-11 21:04:29, 2018-07-11 21:07:13,157,54, WPA2WPA , CCMP TKIP,PSK,-84,9,0,   0.  0.  0.  0,11, VTR-7448158,CAP1
44:D9:E7:E0:DA:20, 2018-07-11 21:04:30, 2018-07-11 21:07:08,1,54, OPN ,       ,   ,-83,12,0,   0.  0.  0.  0,17, ConoceValdivia.cl,CAP1
EA:65:D4:2F:9A:12, 2018-07-11 21:04:58, 2018-07-11 21:07:03,1,54, WPA2WPA , CCMP,PSK,-82,7,0,   0.  0.  0.  0,9, hostal645,CAP1
E0:69:95:80:5F:B6, 2018-07-11 21:05:42, 2018-07-11 21:07:09,7,54, WPA , TKIP,PSK,-81,9,0,   0.  0.  0.  0,8, Molegavi,CAP1
C0:05:C2:A5:3F:9F, 2018-07-11 21:04:27, 2018-07-11 21:06:50,36,54, WPA2WPA , CCMP TKIP,PSK,-81,2,0,   0.  0.  0.  0,11, VTR-0425039,CAP1
AC:84:C6:47:51:F6, 2018-07-11 21:04:30, 2018-07-11 21:07:09,6,54, WPA2WPA , CCMP TKIP,PSK,-81,11,0,   0.  0.  0.  0,12, TP-Link_51F6,CAP1
48:D3:43:60:14:E7, 2018-07-11 21:04:48, 2018-07-11 21:07:12,149,54, WPA2WPA , CCMP TKIP,PSK,-80,8,0,   0.  0.  0.  0,11, VTR-7259770,CAP1
28:28:5D:D1:5B:70, 2018-07-11 21:04:27, 2018-07-11 21:07:09,6,54, WPA2, CCMP TKIP,PSK,-76,23,0,   0.  0.  0.  0,16, telsur_wifi_MVRE,CAP1
82:6D:1A:ED:83:94, 2018-07-11 21:04:30, 2018-07-11 21:07:03,1,54, WPA2, CCMP TKIP,PSK,-74,16,0,   0.  0.  0.  0,4, Wifi,CAP1
00:25:C4:4C:53:21, 2018-07-11 21:04:27, 2018-07-11 21:07:10,11,54, WPA , TKIP,PSK,-74,29,0,   0.  0.  0.  0,9, Wifi_DNRV,CAP1
4C:6E:6E:A8:43:4D, 2018-07-11 21:04:29, 2018-07-11 21:07:09,1,54, WPA2, CCMP TKIP,PSK,-73,29,0,   0.  0.  0.  0,19, wifitelsur_lacasita,CAP1
C0:05:C2:A0:FB:51, 2018-07-11 21:04:27, 2018-07-11 21:07:09,6,54, WPA2WPA , CCMP TKIP,PSK,-72,9,0,   0.  0.  0.  0,11, VTR-1827716,CAP1
C0:05:C2:DD:3B:01, 2018-07-11 21:04:30, 2018-07-11 21:07:06,6,54, WPA2WPA , CCMP TKIP,PSK,-72,22,0,   0.  0.  0.  0,11, VTR-7067395,CAP1
30:91:8F:09:86:D5, 2018-07-11 21:04:27, 2018-07-11 21:07:06,11,54, WPA2WPA , CCMP TKIP,PSK,-71,6,0,   0.  0.  0.  0,10, WIFI_LAVET,CAP1
40:70:09:61:3D:E0, 2018-07-11 21:04:27, 2018-07-11 21:07:10,11,54, WPA2, CCMP,PSK,-69,26,0,   0.  0.  0.  0,7, CELESTE,CAP1
40:0D:10:A4:45:59, 2018-07-11 21:04:26, 2018-07-11 21:07:09,1,54, WPA2WPA , CCMP TKIP,PSK,-71,21,0,   0.  0.  0.  0,11, VTR-7448158,CAP1
48:D3:43:60:14:E1, 2018-07-11 21:04:27, 2018-07-11 21:07:06,6,54, WPA2WPA , CCMP TKIP,PSK,-67,4,0,   0.  0.  0.  0,11, VTR-7259770,CAP1
7C:1C:68:BF:4D:D0, 2018-07-11 21:04:29, 2018-07-11 21:07:08,1,54, OPN ,       ,   ,-64,18,0,   0.  0.  0.  0,10, Yordiytabi,CAP1
40:70:09:61:3D:E5, 2018-07-11 21:04:27, 2018-07-11 21:07:10,48,54, WPA2, CCMP,PSK,-59,15,0,   0.  0.  0.  0,10, CELESTE-5G,CAP1
